iteration,score,epsilon
1,0,0.2
2,0,0.2
3,0,0.2
4,0,0.2
5,0,0.2
6,0,0.2
7,0,0.2
8,0,0.2
9,0,0.2
10,0,0.2
11,0,0.2
12,0,0.2
13,0,0.2
14,0,0.2
15,0,0.2
16,0,0.2
17,0,0.2
18,1,0.199
19,0,0.199
20,0,0.199
21,0,0.199
22,0,0.199
23,0,0.199
24,0,0.199
25,1,0.198
26,0,0.198
27,0,0.198
28,0,0.198
29,0,0.198
30,0,0.198
31,0,0.198
32,0,0.198
33,0,0.198
34,0,0.198
35,0,0.198
36,0,0.198
37,0,0.198
38,0,0.198
39,0,0.198
40,0,0.198
41,0,0.198
42,1,0.197
43,0,0.197
44,0,0.197
45,0,0.197
46,0,0.197
47,0,0.197
48,0,0.197
49,0,0.197
50,0,0.197
51,0,0.197
52,0,0.197
53,0,0.197
54,0,0.197
55,0,0.197
56,0,0.197
57,0,0.197
58,0,0.197
59,0,0.197
60,0,0.197
61,0,0.197
62,0,0.197
63,0,0.197
64,0,0.197
65,0,0.197
66,0,0.197
67,0,0.197
68,0,0.197
69,0,0.197
70,0,0.197
71,0,0.197
72,0,0.197
73,0,0.197
74,0,0.197
75,0,0.197
76,0,0.197
77,1,0.196
78,0,0.196
79,0,0.196
80,0,0.196
81,0,0.196
82,0,0.196
83,0,0.196
84,0,0.196
85,1,0.195
86,0,0.195
87,0,0.195
88,0,0.195
89,0,0.195
90,0,0.195
91,0,0.195
92,0,0.195
93,0,0.195
94,0,0.195
95,0,0.195
96,0,0.195
97,0,0.195
98,0,0.195
99,0,0.195
100,0,0.195
101,1,0.194
102,0,0.194
103,1,0.193
104,0,0.193
105,0,0.193
106,0,0.193
107,0,0.193
108,0,0.193
109,0,0.193
110,0,0.193
111,0,0.193
112,0,0.193
113,0,0.193
114,0,0.193
115,0,0.193
116,0,0.193
117,0,0.193
118,0,0.193
119,0,0.193
120,0,0.193
121,0,0.193
122,0,0.193
123,0,0.193
124,1,0.192
125,0,0.192
126,1,0.191
127,0,0.191
128,1,0.19
129,1,0.189
130,2,0.188
131,0,0.188
132,0,0.188
133,0,0.188
134,0,0.188
135,0,0.188
136,0,0.188
137,1,0.187
138,0,0.187
139,0,0.187
140,2,0.186
141,0,0.186
142,0,0.186
143,0,0.186
144,2,0.185
145,0,0.185
146,0,0.185
147,0,0.185
148,0,0.185
149,1,0.184
150,0,0.184
151,1,0.183
152,1,0.182
153,0,0.182
154,1,0.181
155,0,0.181
156,0,0.181
157,0,0.181
158,1,0.18
159,0,0.18
160,0,0.18
161,1,0.179
162,1,0.178
163,0,0.178
164,0,0.178
165,0,0.178
166,1,0.177
167,0,0.177
168,1,0.176
169,0,0.176
170,0,0.176
171,1,0.175
172,0,0.175
173,0,0.175
174,0,0.175
175,0,0.175
176,0,0.175
177,0,0.175
178,1,0.174
179,1,0.173
180,1,0.172
181,0,0.172
182,0,0.172
183,1,0.17099999999999999
184,0,0.17099999999999999
185,1,0.16999999999999998
186,0,0.16999999999999998
187,1,0.16899999999999998
188,0,0.16899999999999998
189,0,0.16899999999999998
190,0,0.16899999999999998
191,0,0.16899999999999998
192,0,0.16899999999999998
193,0,0.16899999999999998
194,1,0.16799999999999998
195,0,0.16799999999999998
196,0,0.16799999999999998
197,0,0.16799999999999998
198,0,0.16799999999999998
199,0,0.16799999999999998
200,0,0.16799999999999998
201,0,0.16799999999999998
202,0,0.16799999999999998
203,1,0.16699999999999998
204,1,0.16599999999999998
205,1,0.16499999999999998
206,1,0.16399999999999998
207,0,0.16399999999999998
208,0,0.16399999999999998
209,0,0.16399999999999998
210,0,0.16399999999999998
211,0,0.16399999999999998
212,0,0.16399999999999998
213,0,0.16399999999999998
214,0,0.16399999999999998
215,0,0.16399999999999998
216,1,0.16299999999999998
217,0,0.16299999999999998
218,0,0.16299999999999998
219,0,0.16299999999999998
220,0,0.16299999999999998
221,0,0.16299999999999998
222,2,0.16199999999999998
223,0,0.16199999999999998
224,0,0.16199999999999998
225,0,0.16199999999999998
226,0,0.16199999999999998
227,0,0.16199999999999998
228,0,0.16199999999999998
229,0,0.16199999999999998
230,1,0.16099999999999998
231,0,0.16099999999999998
232,0,0.16099999999999998
233,0,0.16099999999999998
234,0,0.16099999999999998
235,0,0.16099999999999998
236,2,0.15999999999999998
237,1,0.15899999999999997
238,0,0.15899999999999997
239,1,0.15799999999999997
240,1,0.15699999999999997
241,2,0.15599999999999997
242,0,0.15599999999999997
243,0,0.15599999999999997
244,0,0.15599999999999997
245,0,0.15599999999999997
246,0,0.15599999999999997
247,0,0.15599999999999997
248,0,0.15599999999999997
249,0,0.15599999999999997
250,1,0.15499999999999997
251,0,0.15499999999999997
252,0,0.15499999999999997
253,1,0.15399999999999997
254,0,0.15399999999999997
255,0,0.15399999999999997
256,0,0.15399999999999997
257,0,0.15399999999999997
258,0,0.15399999999999997
259,1,0.15299999999999997
260,0,0.15299999999999997
261,1,0.15199999999999997
262,0,0.15199999999999997
263,0,0.15199999999999997
264,0,0.15199999999999997
265,0,0.15199999999999997
266,0,0.15199999999999997
267,0,0.15199999999999997
268,0,0.15199999999999997
269,0,0.15199999999999997
270,0,0.15199999999999997
271,0,0.15199999999999997
272,0,0.15199999999999997
273,0,0.15199999999999997
274,0,0.15199999999999997
275,0,0.15199999999999997
276,0,0.15199999999999997
277,0,0.15199999999999997
278,1,0.15099999999999997
279,2,0.14999999999999997
280,1,0.14899999999999997
281,0,0.14899999999999997
282,0,0.14899999999999997
283,0,0.14899999999999997
284,0,0.14899999999999997
285,0,0.14899999999999997
286,0,0.14899999999999997
287,0,0.14899999999999997
288,1,0.14799999999999996
289,0,0.14799999999999996
290,0,0.14799999999999996
291,0,0.14799999999999996
292,1,0.14699999999999996
293,0,0.14699999999999996
294,0,0.14699999999999996
295,0,0.14699999999999996
296,0,0.14699999999999996
297,0,0.14699999999999996
298,2,0.14599999999999996
299,0,0.14599999999999996
300,0,0.14599999999999996
301,1,0.14499999999999996
302,0,0.14499999999999996
303,0,0.14499999999999996
304,1,0.14399999999999996
305,0,0.14399999999999996
306,0,0.14399999999999996
307,1,0.14299999999999996
308,0,0.14299999999999996
309,0,0.14299999999999996
310,0,0.14299999999999996
311,1,0.14199999999999996
312,0,0.14199999999999996
313,0,0.14199999999999996
314,0,0.14199999999999996
315,0,0.14199999999999996
316,0,0.14199999999999996
317,0,0.14199999999999996
318,0,0.14199999999999996
319,0,0.14199999999999996
320,0,0.14199999999999996
321,0,0.14199999999999996
322,1,0.14099999999999996
323,0,0.14099999999999996
324,1,0.13999999999999996
325,1,0.13899999999999996
326,0,0.13899999999999996
327,0,0.13899999999999996
328,0,0.13899999999999996
329,1,0.13799999999999996
330,0,0.13799999999999996
331,0,0.13799999999999996
332,0,0.13799999999999996
333,0,0.13799999999999996
334,1,0.13699999999999996
335,0,0.13699999999999996
336,0,0.13699999999999996
337,1,0.13599999999999995
338,1,0.13499999999999995
339,0,0.13499999999999995
340,0,0.13499999999999995
341,0,0.13499999999999995
342,0,0.13499999999999995
343,0,0.13499999999999995
344,0,0.13499999999999995
345,0,0.13499999999999995
346,0,0.13499999999999995
347,1,0.13399999999999995
348,0,0.13399999999999995
349,0,0.13399999999999995
350,0,0.13399999999999995
351,1,0.13299999999999995
352,0,0.13299999999999995
353,0,0.13299999999999995
354,0,0.13299999999999995
355,0,0.13299999999999995
356,0,0.13299999999999995
357,0,0.13299999999999995
358,2,0.13199999999999995
359,0,0.13199999999999995
360,1,0.13099999999999995
361,1,0.12999999999999995
362,0,0.12999999999999995
363,1,0.12899999999999995
364,0,0.12899999999999995
365,0,0.12899999999999995
366,0,0.12899999999999995
367,1,0.12799999999999995
368,0,0.12799999999999995
369,0,0.12799999999999995
370,0,0.12799999999999995
371,0,0.12799999999999995
372,0,0.12799999999999995
373,1,0.12699999999999995
374,0,0.12699999999999995
375,0,0.12699999999999995
376,0,0.12699999999999995
377,0,0.12699999999999995
378,3,0.12599999999999995
379,0,0.12599999999999995
380,1,0.12499999999999994
381,0,0.12499999999999994
382,0,0.12499999999999994
383,0,0.12499999999999994
384,0,0.12499999999999994
385,0,0.12499999999999994
386,0,0.12499999999999994
387,1,0.12399999999999994
388,0,0.12399999999999994
389,0,0.12399999999999994
390,0,0.12399999999999994
391,0,0.12399999999999994
392,0,0.12399999999999994
393,1,0.12299999999999994
394,1,0.12199999999999994
395,1,0.12099999999999994
396,1,0.11999999999999994
397,0,0.11999999999999994
398,0,0.11999999999999994
399,4,0.11899999999999994
400,2,0.11799999999999994
401,1,0.11699999999999994
402,0,0.11699999999999994
403,0,0.11699999999999994
404,0,0.11699999999999994
405,1,0.11599999999999994
406,0,0.11599999999999994
